tracking_number,payment_type,pickup_datetime_ist,delivery_datetime_ist,days_taken,shipment_weight_kg,pickup_pincode,pickup_city,pickup_state,drop_pincode,drop_city,drop_state,out_for_delivery_datetimes,delivery_attempts
391018702750,PREPAID,2020-03-11 16:39:00+05:30,2020-03-18 19:26:00+05:30,7,14.0,560048,Bangalore,KA,226010,Lucknow,UP,2020-03-18 11:00:00 IST,2
390931993491,COD,2020-03-07 16:27:00+05:30,2020-03-11 14:31:00+05:30,3,14.0,560048,Bangalore,KA,380015,ahmedabad,GJ,2020-03-11 13:22:00 IST,2
391080326650,COD,2020-03-13 17:14:00+05:30,2020-03-20 16:00:00+05:30,6,14.0,560048,Bangalore,KA,400604,Thane,MH,2020-03-19 12:28:00 IST;2020-03-18 10:42:00 IST;2020-03-17 11:27:00 IST;2020-03-16 10:12:00 IST,5
390870220230,COD,2020-03-05 19:20:00+05:30,2020-03-14 18:15:00+05:30,8,14.0,560048,Bangalore,KA,500072,Hyderabad,TS,2020-03-09 14:42:00 IST,2
390901963670,COD,2020-03-06 16:07:00+05:30,2020-03-10 18:00:00+05:30,4,14.0,560048,Bangalore,KA,500033,HYDERABAD,TS,2020-03-10 12:38:00 IST,2
390950151411,COD,2020-03-09 15:12:00+05:30,2020-03-13 14:44:00+05:30,3,14.0,560048,Bangalore,KA,110009,Delhi,DL,2020-03-13 09:32:00 IST,2
390950569057,PREPAID,2020-03-09 15:12:00+05:30,2020-03-10 11:52:00+05:30,0,14.0,560048,Bangalore,KA,560016,Bengaluru,KA,2020-03-10 09:56:00 IST,2
391018768927,PREPAID,2020-03-11 16:39:00+05:30,2020-03-18 19:26:00+05:30,7,28.0,560048,Bangalore,KA,226010,Lucknow,UP,2020-03-18 11:00:00 IST,2
390901927330,PREPAID,2020-03-06 16:07:00+05:30,2020-03-12 13:49:00+05:30,5,14.0,560048,Bangalore,KA,500048,Hyderabad,TS,2020-03-12 15:52:00 IST;2020-03-11 13:49:00 IST,3
390932009368,PREPAID,2020-03-07 16:27:00+05:30,2020-03-09 18:00:00+05:30,2,14.0,560048,Bangalore,KA,500032,HYDERABAD,TS,,1
280902966660,PREPAID,2021-06-29 19:07:00+05:30,2021-07-02 19:59:00+05:30,3,2.5,560048,Bangalore,KA,500014,Hyderabad,TS,,1
390871801797,PREPAID,2020-03-05 19:20:00+05:30,2020-03-06 10:40:00+05:30,0,14.0,560048,Bangalore,KA,560068,Bengaluru,KA,2020-03-06 09:35:00 IST,2
390767885350,COD,2020-03-02 16:23:00+05:30,2020-03-04 14:11:00+05:30,1,14.0,560048,Bangalore,KA,411014,Pune,MH,2020-03-04 12:57:00 IST,2
390902302347,PREPAID,2020-03-06 16:07:00+05:30,2020-03-07 11:06:00+05:30,0,14.0,560048,Bangalore,KA,562123,Bangalore,KA,2020-03-07 11:35:00 IST,2
391017630155,PREPAID,2020-03-11 16:39:00+05:30,2020-03-16 15:25:00+05:30,4,14.0,560048,Bangalore,KA,110049,New Delhi,DL,2020-03-16 09:49:00 IST,2
390839024061,COD,2020-03-04 16:13:00+05:30,2020-03-09 14:45:00+05:30,4,14.0,560048,Bangalore,KA,110027,Delhi,DL,2020-03-09 10:07:00 IST,2
391080744877,COD,2020-03-13 17:14:00+05:30,2020-03-16 15:40:00+05:30,2,14.0,560048,Bangalore,KA,411029,Pune,MH,,1
391195866906,COD,2020-03-18 17:08:00+05:30,2020-03-23 16:36:00+05:30,4,14.0,560048,Bangalore,KA,110025,New delhi,DL,2020-03-23 10:51:00 IST,2
391049832078,COD,2020-03-12 16:17:00+05:30,2020-03-18 17:02:00+05:30,6,14.0,560048,Bangalore,KA,700034,Kolkata,WB,2020-03-18 13:54:00 IST,2
280853182067,PREPAID,2021-06-28 18:18:00+05:30,2021-07-02 19:19:00+05:30,4,5.0,560048,Bangalore,KA,600090,Chennai,TN,2021-07-02 12:39:00 IST;2021-07-01 12:21:00 IST,3
390808808594,PREPAID,2020-03-03 16:19:00+05:30,2020-03-05 13:39:00+05:30,1,14.0,560048,Bangalore,KA,400071,Mumbai,MH,2020-03-05 11:13:00 IST,2
391018775697,COD,2020-03-11 16:39:00+05:30,2020-03-14 13:21:00+05:30,2,14.0,560048,Bangalore,KA,440010,Nagpur,MH,2020-03-14 10:52:00 IST,2
390948863631,COD,2020-03-09 15:12:00+05:30,2020-03-11 15:30:00+05:30,2,14.0,560048,Bangalore,KA,400004,Mumbai,MH,,1
390767878200,PREPAID,2020-03-02 16:23:00+05:30,2020-03-03 17:36:00+05:30,1,14.0,560048,Bangalore,KA,560103,Bangalore,KA,2020-03-03 09:43:00 IST,2
390871721487,PREPAID,2020-03-05 19:20:00+05:30,2020-03-06 14:00:00+05:30,0,28.0,560048,Bangalore,KA,570004,Mysuru,KA,2020-03-06 09:57:00 IST,2
390871798135,PREPAID,2020-03-05 19:20:00+05:30,2020-03-09 18:30:00+05:30,3,14.0,560048,Bangalore,KA,400054,Mumbai,MH,2020-03-09 09:38:00 IST,2
390769051308,PREPAID,2020-03-02 16:23:00+05:30,2020-03-06 18:19:00+05:30,4,14.0,560048,Bangalore,KA,411006,Pune,MH,2020-03-06 11:31:00 IST;2020-03-05 12:16:00 IST;2020-03-04 12:11:00 IST,4
390948867394,PREPAID,2020-03-09 15:12:00+05:30,2020-03-12 12:30:00+05:30,2,14.0,560048,Bangalore,KA,390005,Vadodara,GJ,,1
391080357350,PREPAID,2020-03-13 17:14:00+05:30,2020-03-16 16:40:00+05:30,2,14.0,560048,Bangalore,KA,400053,Mumbai,MH,2020-03-16 11:35:00 IST,2
390769041097,COD,2020-03-02 16:23:00+05:30,2020-03-05 16:20:00+05:30,2,14.0,560048,Bangalore,KA,440022,Nagpur,MH,2020-03-05 11:18:00 IST,2
390767756692,PREPAID,2020-03-02 16:23:00+05:30,2020-03-04 19:00:00+05:30,2,14.0,560048,Bangalore,KA,411014,Pune,MH,,1
